#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
275918:5052,06/29/16 09:29:20,332,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.051968581,0.050183131
275920:5052,06/29/16 11:54:52,472,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.066187039,0.061815814
275921:5052,06/29/16 14:59:30,27,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.003641330,0.002717751
275923:5052,06/29/16 15:16:55,127,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.016791010,0.016046496
275931:5052,06/29/16 16:34:22,89,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.011329903,0.011009937
276242:5069,07/02/16 17:05:51,1205,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.198543072,0.187807959
276243:5069,07/03/16 00:56:20,625,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.085468245,0.078522762
276244:5069,07/03/16 05:03:30,1202,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v3,0.138837520,0.133636511
276282:5071,07/04/16 00:03:08,175,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.032266676,0.030207371
276283:5071,07/04/16 01:13:27,1087,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.175660442,0.168603350
276318:5072,07/04/16 15:45:22,227,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.039560576,0.037105227
276361:5073,07/05/16 01:36:08,376,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.067789201,0.063699928
276363:5073,07/05/16 04:07:36,1480,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.218115595,0.208305512
276384:5073,07/05/16 13:46:43,1117,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.126291957,0.122563645
276437:5076,07/06/16 07:30:21,1428,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.230964634,0.222039129
276454:5076,07/06/16 18:10:58,520,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.065500550,0.063603552
276458:5076,07/07/16 02:00:22,341,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.034238035,0.033452613
276501:5078,07/07/16 18:05:05,1731,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.262847713,0.252812163
276502:5078,07/08/16 05:20:54,741,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.088980130,0.086178508
276525:5080,07/08/16 17:41:59,2260,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.320338594,0.309271158
276527:5080,07/09/16 08:34:41,214,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.023371639,0.022643718
276528:5080,07/09/16 10:00:39,394,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.040052211,0.038702583
276543:5083,07/09/16 21:50:33,931,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.151785639,0.144696233
276544:5083,07/10/16 03:53:24,161,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.023256821,0.022197194
276545:5083,07/10/16 04:59:01,207,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.027974555,0.026880403
276582:5085,07/10/16 17:44:12,431,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.073271700,0.070400469
276583:5085,07/10/16 20:34:28,56,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.008977231,0.007915070
276584:5085,07/10/16 20:59:17,2,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.000319045,0.000174379
276585:5085,07/10/16 21:31:21,246,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.037354351,0.035229364
276586:5085,07/10/16 23:10:08,752,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.101331773,0.097861972
276587:5085,07/11/16 04:13:21,1006,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.112642493,0.108607793
276653:5091,07/12/16 03:14:44,15,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.002694343,0.001703186
276655:5091,07/12/16 03:26:27,1105,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.173634696,0.163109976
276659:5091,07/12/16 10:40:00,249,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.032905944,0.030102050
276775:5093,07/13/16 01:52:05,481,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.083725086,0.078169677
276776:5093,07/13/16 05:02:29,1823,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.246879948,0.238494780
276794:5093,07/13/16 17:08:02,878,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.089460721,0.087183708
276808:5095,07/14/16 07:47:31,366,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.064833748,0.061904944
276810:5095,07/14/16 10:15:44,288,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.047313662,0.045167887
276811:5095,07/14/16 12:15:34,2563,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.314203317,0.304356839
276831:5096,07/15/16 11:41:16,2043,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.301294777,0.288542671
276834:5096,07/16/16 01:42:10,724,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.076623245,0.073217236
276870:5097,07/16/16 17:15:46,2441,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.344042546,0.332900816
276950:5102,07/18/16 14:32:41,2312,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.332931982,0.320731223
277070:5105,07/20/16 01:05:46,258,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.047234291,0.043043559
277071:5105,07/20/16 02:48:37,171,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.029568980,0.026613803
277072:5105,07/20/16 04:01:41,473,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4,0.073700880,0.069830645
