#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
282814:5394,10/10/16 21:35:56,1439,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.207307656,0.201388465
282923:5401,10/12/16 07:29:02,11,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.002022611,0.001035267
283042:5405,10/12/16 22:38:59,10,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.002704425,0.001435533
283270:5416,10/15/16 03:06:49,532,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.087231072,0.084125531
283283:5416,10/15/16 06:35:59,1748,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.204630501,0.199136156
283308:5418,10/16/16 05:05:54,587,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.097500127,0.093895851
283358:5421,10/17/16 04:10:01,468,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.079017752,0.073201958
283359:5421,10/17/16 07:15:19,428,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.062846963,0.061358758
283408:5423,10/18/16 05:07:13,1073,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.167336264,0.160009625
283416:5423,10/18/16 15:16:09,197,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.022663827,0.022044105
283685:5437,10/21/16 06:41:58,270,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.014389909,0.013491168
283820:5439,10/22/16 06:17:05,18,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.003142127,0.002918727
283830:5439,10/22/16 06:27:24,722,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.106078202,0.103188837
283834:5439,10/22/16 11:11:28,82,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.010473801,0.009088268
283835:5439,10/22/16 11:45:28,112,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.013217799,0.011410360
283865:5441,10/23/16 01:02:46,12,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.002187474,0.002124638
283877:5442,10/23/16 11:14:55,994,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.153819847,0.149113216
283885:5443,10/24/16 07:12:37,984,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.147079699,0.143366038
283934:5446,10/25/16 02:30:31,196,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.035018829,0.033159992
283946:5448,10/25/16 14:53:36,238,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.041988771,0.038526420
283964:5448,10/25/16 16:30:16,386,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.060775981,0.058911467
284006:5450,10/26/16 02:28:00,28,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.005208296,0.005042116
284037:5451,10/26/16 16:27:54,84,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.015333925,0.014714946
284038:5451,10/26/16 17:02:16,55,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.009800281,0.009192519
284039:5451,10/26/16 17:27:02,30,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.005248224,0.004843458
284040:5451,10/26/16 17:42:18,35,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.006049726,0.005499267
284041:5451,10/26/16 17:59:11,45,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.007455427,0.006876669
284042:5451,10/26/16 18:23:53,129,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.020785636,0.019884807
284043:5451,10/26/16 19:17:23,225,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.033489560,0.032003512
284044:5451,10/26/16 20:46:05,30,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,0.004412021,0.004325715
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,21,38,23102,3.382212119,3.262811141
#HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v7,25,40,21206,3.005378177,2.896353156
#
#Sum delivered  : 6.387590296
#Sum recorded : 6.159164297
#Check JSON:
#(run,ls) in json but not in results: []
