path,act. lumi (fb-1),eff. lumi (fb-1),first run,last run,menu version,dataset
HLT_BTagMu_AK4DiJet110_Mu5_noalgo_v,31.92,4.18,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4DiJet110_Mu5_v,28.04,2.14,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK4DiJet170_Mu5_noalgo_v,31.92,20.31,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4DiJet170_Mu5_v,28.04,11.71,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK4DiJet20_Mu5_noalgo_v,31.92,0.0329,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4DiJet20_Mu5_v,28.04,0.0213,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK4DiJet40_Mu5_noalgo_v,31.92,0.21,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4DiJet40_Mu5_v,28.04,0.13,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK4DiJet70_Mu5_noalgo_v,31.92,1.01,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4DiJet70_Mu5_v,28.04,0.64,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK4Jet300_Mu5_noalgo_v,31.92,31.92,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK4Jet300_Mu5_v,28.04,28.04,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK8DiJet170_Mu5_noalgo_v,31.92,16.64,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK8DiJet170_Mu5_v,28.04,9.44,315257,320065,v1.1,BTagMu
HLT_BTagMu_AK8Jet170_DoubleMu5_noalgo_v,31.92,31.92,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK8Jet170_DoubleMu5_v,22.74,22.74,315974,320065,v2.0,BTagMu
HLT_BTagMu_AK8Jet300_Mu5_noalgo_v,31.92,31.92,320673,325172,v3.3,BTagMu
HLT_BTagMu_AK8Jet300_Mu5_v,28.04,28.04,315257,320065,v1.1,BTagMu
HLT_Dimuon0_Jpsi3p5_Muon2_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v,59.96,0.21,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_L1_NoOS_v,59.96,0.0291,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v,59.96,0.2,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v,59.96,0.0285,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_NoVertexing_v,59.96,0,315257,325172,v1.1,Charmonium
HLT_Dimuon0_Jpsi_v,59.96,0,315257,325172,v1.1,Charmonium
HLT_Dimuon0_LowMass_L1_0er1p5R_v,5.3,0.0161,315257,315973,v1.1,Charmonium
HLT_Dimuon0_LowMass_L1_0er1p5_v,59.96,0.15,315257,325172,v1.1,Charmonium
HLT_Dimuon0_LowMass_L1_4R_v,5.3,0.0093,315257,315973,v1.1,Charmonium
HLT_Dimuon0_LowMass_L1_4_v,59.96,0.0897,315257,325172,v1.1,Charmonium
HLT_Dimuon0_LowMass_v,59.96,0,315257,325172,v1.1,Charmonium
HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v,5.3,5.3,315257,315973,v1.1,Charmonium
HLT_Dimuon18_PsiPrime_noCorrL1_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_Dimuon18_PsiPrime_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_Dimuon20_Jpsi_Barrel_Seagulls_v,5.3,5.3,315257,315973,v1.1,Charmonium
HLT_Dimuon25_Jpsi_noCorrL1_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_Dimuon25_Jpsi_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_3_Bs_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_3_Jpsi_v,59.96,6,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_JpsiTrk_Displaced_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_Jpsi_Displaced_v,59.96,1.06,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_Jpsi_NoVertexing_v,59.96,0.26,315257,325172,v1.1,Charmonium
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v,59.96,59.96,315257,325172,v1.1,Charmonium
HLT_Mu30_TkMu0_Psi_v,42.28,42.28,317527,325172,v2.2,Charmonium
HLT_Mu7p5_L2Mu2_Jpsi_v,59.96,0.0472,315257,325172,v1.1,Charmonium
HLT_Mu7p5_Track2_Jpsi_v,59.96,0.28,315257,325172,v1.1,Charmonium
HLT_Mu7p5_Track3p5_Jpsi_v,59.96,0.28,315257,325172,v1.1,Charmonium
HLT_Mu7p5_Track7_Jpsi_v,59.96,0.28,315257,325172,v1.1,Charmonium
HLT_IsoTrackHB_v,59.97,57.12,315257,325172,v1.1,Commissioning
HLT_IsoTrackHE_v,59.97,57.12,315257,325172,v1.1,Commissioning
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v,59.96,0.31,315257,325172,v1.1,Commissioning
HLT_HT400_DisplacedDijet40_DisplacedTrack_v,54.67,13.66,315974,325172,v2.0,DisplacedJet
HLT_HT425_v,59.96,0.12,315257,325172,v1.1,DisplacedJet
HLT_HT430_DisplacedDijet40_DisplacedTrack_v,59.96,59.95,315257,325172,v1.1,DisplacedJet
HLT_HT430_DisplacedDijet60_DisplacedTrack_v,59.96,59.95,315257,325172,v1.1,DisplacedJet
HLT_HT500_DisplacedDijet40_DisplacedTrack_v,59.96,59.95,315257,325172,v1.1,DisplacedJet
HLT_HT550_DisplacedDijet60_Inclusive_v,54.67,3.42,315974,325172,v2.0,DisplacedJet
HLT_HT650_DisplacedDijet60_Inclusive_v,59.96,59.95,315257,325172,v1.1,DisplacedJet
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_NoL2Matched_v,36.38,36.38,319528,325172,V3.0,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v,59.96,59.96,315257,325172,v1.1,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_NoL2Matched_v,36.38,36.38,319528,325172,V3.0,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_v,59.96,59.96,315257,325172,v1.1,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v,58.85,58.85,315488,325172,v1.2,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_NoL2Matched_v,36.38,36.38,319528,325172,V3.0,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v,59.96,59.96,315257,325172,v1.1,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v,58.85,58.85,315488,325172,v1.2,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_NoL2Matched_v,36.38,36.38,319528,325172,V3.0,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_v,59.96,59.96,315257,325172,v1.1,DoubleMuon
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v,58.85,58.85,315488,325172,v1.2,DoubleMuon
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v,58.85,58.85,315488,325172,v1.2,DoubleMuon
HLT_DoubleL2Mu50_v,59.96,59.96,315257,325172,v1.1,DoubleMuon
HLT_DoubleMu33NoFiltersNoVtxDisplaced_v,54.67,54.67,315974,325172,v2.0,DoubleMuon
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v,59.96,59.39,315257,325172,v1.1,DoubleMuon
HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v,59.96,59.39,315257,325172,v1.1,DoubleMuon
HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v,59.96,59.39,315257,325172,v1.1,DoubleMuon
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v,59.96,59.39,315257,325172,v1.1,DoubleMuon
