path,act. lumi (fb-1),eff. lumi (fb-1),first run,last run,menu version,dataset
HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v,36.47,1.04,273158,284044,v1.1,BTagCSV
HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v,36.27,36.27,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v,36.27,36.27,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v,36.47,20.49,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_SingleBTagCSV_p014_v,36.47,0.92,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v,36.47,19.3,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC100_SingleBTagCSV_p026_v,36.47,0.91,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_QuadJet45_DoubleBTagCSV_p087_v,36.47,1.29,273158,284044,v1.1,BTagCSV
HLT_QuadJet45_TripleBTagCSV_p087_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v,25.36,25.36,273158,284044,v1.1,BTagCSV
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v,25.36,25.36,273158,284044,v1.1,BTagCSV
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v,36.47,36.47,273158,284044,v1.1,BTagCSV
HLT_Rsq0p02_MR300_TriPFJet80_60_40_BTagCSV_p063_p20_Mbb60_200_v,4.33,4.32,273158,275376,v1.1,BTagCSV
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,18.02,18.02,273158,278240,v1.1,BTagCSV
HLT_Rsq0p02_MR400_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,14.73,14.73,278273,284044,v3.1,BTagCSV
HLT_Rsq0p02_MR450_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,14.73,14.73,278273,284044,v3.1,BTagCSV
HLT_Rsq0p02_MR500_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,7.05,7.05,281613,284044,v4.1,BTagCSV
HLT_Rsq0p02_MR550_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,8.76,8.76,281613,284044,v4.1,BTagCSV
HLT_BTagMu_AK8Jet300_Mu5_v,28.28,28.28,276282,284044,v2.2,BTagMu
HLT_BTagMu_DiJet110_Mu5_v,36.47,4.06,273158,284044,v1.1,BTagMu
HLT_BTagMu_DiJet170_Mu5_v,28.28,19.39,276282,284044,v2.2,BTagMu
HLT_BTagMu_DiJet20_Mu5_v,36.47,0.11,273158,284044,v1.1,BTagMu
HLT_BTagMu_DiJet40_Mu5_v,36.47,0.27,273158,284044,v1.1,BTagMu
HLT_BTagMu_DiJet70_Mu5_v,36.47,0.99,273158,284044,v1.1,BTagMu
HLT_BTagMu_Jet300_Mu5_v,36.47,36.47,273158,284044,v1.1,BTagMu
HLT_Dimuon0_Jpsi_Muon_v,36.47,36.47,273158,284044,v1.1,Charmonium
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v,36.47,0.8,273158,284044,v1.1,Charmonium
HLT_Dimuon0er16_Jpsi_NoVertexing_v,17.51,0.67,273158,278240,v1.1,Charmonium
HLT_Dimuon10_Jpsi_Barrel_v,16.05,4.79,273158,278822,v1.1,Charmonium
HLT_Dimuon13_PsiPrime_v,36.35,36.35,273158,284044,v1.1,Charmonium
HLT_Dimuon16_Jpsi_v,25.36,25.36,273158,284044,v1.1,Charmonium
HLT_Dimuon20_Jpsi_v,36.35,36.35,273158,284044,v1.1,Charmonium
HLT_Dimuon6_Jpsi_NoVertexing_v,36.47,0.18,273158,284044,v1.1,Charmonium
HLT_Dimuon8_PsiPrime_Barrel_v,25.36,25.36,273158,284044,v1.1,Charmonium
HLT_DoubleMu4_3_Bs_v,36.35,36.35,273158,284044,v1.1,Charmonium
HLT_DoubleMu4_3_Jpsi_Displaced_v,36.35,17.44,273158,284044,v1.1,Charmonium
HLT_DoubleMu4_JpsiTrk_Displaced_v,36.35,36.35,273158,284044,v1.1,Charmonium
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v,36.35,36.35,273158,284044,v1.1,Charmonium
HLT_Mu7p5_L2Mu2_Jpsi_v,36.47,0.18,273158,284044,v1.1,Charmonium
HLT_Mu7p5_Track2_Jpsi_v,36.47,0.34,273158,284044,v1.1,Charmonium
HLT_Mu7p5_Track3p5_Jpsi_v,36.47,0.34,273158,284044,v1.1,Charmonium
HLT_Mu7p5_Track7_Jpsi_v,36.47,0.34,273158,284044,v1.1,Charmonium
HLT_QuadMuon0_Dimuon0_Jpsi_v,36.47,36.47,273158,284044,v1.1,Charmonium
