path,act. lumi (fb-1),eff. lumi (fb-1),first run,last run,menu version,dataset
HLT_PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1_v,28.3,28.3,299368,306460,v2.0,MET
HLT_PFMET100_PFMHT100_IDTight_PFHT60_v,3.83,3.83,305406,306460,v4.0,MET
HLT_PFMET110_PFMHT110_IDTight_CaloBTagCSV_3p1_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET110_PFMHT110_IDTight_v,41.54,5.12,297050,306460,v1.1,MET
HLT_PFMET120_PFMHT120_IDTight_CaloBTagCSV_3p1_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET120_PFMHT120_IDTight_HFCleaned_v,8.36,8.36,300087,302019,v2.1,MET
HLT_PFMET120_PFMHT120_IDTight_PFHT60_HFCleaned_v,8.36,8.36,300087,302019,v2.1,MET
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET120_PFMHT120_IDTight_v,40.67,40.67,297050,306460,v1.1,MET
HLT_PFMET130_PFMHT130_IDTight_CaloBTagCSV_3p1_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET130_PFMHT130_IDTight_v,40.67,40.67,297050,306460,v1.1,MET
HLT_PFMET140_PFMHT140_IDTight_CaloBTagCSV_3p1_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET140_PFMHT140_IDTight_v,41.54,41.54,297050,306460,v1.1,MET
HLT_PFMET200_HBHECleaned_v,36.75,4.05,299368,306460,v2.0,MET
HLT_PFMET200_HBHE_BeamHaloCleaned_v,36.75,16.6,299368,306460,v2.0,MET
HLT_PFMET200_NotCleaned_v,36.75,1.57,299368,306460,v2.0,MET
HLT_PFMET250_HBHECleaned_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMET300_HBHECleaned_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_PFHT60_v,3.83,3.83,305406,306460,v4.0,MET
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v,41.54,0.99,297050,306460,v1.1,MET
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_HFCleaned_v,8.36,8.36,300087,302019,v2.1,MET
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v,40.67,40.67,297050,306460,v1.1,MET
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v,35.88,35.88,299368,306460,v2.0,MET
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMETTypeOne100_PFMHT100_IDTight_PFHT60_v,3.83,3.83,305406,306460,v4.0,MET
HLT_PFMETTypeOne110_PFMHT110_IDTight_v,41.54,5.13,297050,306460,v1.1,MET
HLT_PFMETTypeOne120_PFMHT120_IDTight_HFCleaned_v,8.36,8.36,300087,302019,v2.1,MET
HLT_PFMETTypeOne120_PFMHT120_IDTight_PFHT60_v,36.75,36.75,299368,306460,v2.0,MET
HLT_PFMETTypeOne120_PFMHT120_IDTight_v,40.67,40.67,297050,306460,v1.1,MET
HLT_PFMETTypeOne130_PFMHT130_IDTight_v,40.67,40.67,297050,306460,v1.1,MET
HLT_PFMETTypeOne140_PFMHT140_IDTight_v,41.54,41.54,297050,306460,v1.1,MET
HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v,36.75,36.75,299368,306460,v2.0,MET
HLT_TripleJet110_35_35_Mjj650_PFMET110_v,36.75,36.75,299368,306460,v2.0,MET
HLT_TripleJet110_35_35_Mjj650_PFMET120_v,36.75,36.75,299368,306460,v2.0,MET
HLT_TripleJet110_35_35_Mjj650_PFMET130_v,36.75,36.75,299368,306460,v2.0,MET
HLT_Dimuon0_Upsilon_L1_4p5NoOS_v,36.75,0.67,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_L1_4p5_v,36.75,0.95,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v,36.75,0.92,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v,36.75,1.19,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_L1_5M_v,36.75,1.02,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_L1_5_v,36.75,0.0348,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_Muon_L1_TM0_v,36.75,0,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v,36.75,5.46,299368,306460,v2.0,MuOnia
HLT_Dimuon0_Upsilon_NoVertexing_v,36.75,0.44,299368,306460,v2.0,MuOnia
HLT_Dimuon10_Upsilon_Barrel_Seagulls_v,36.75,36.75,299368,306460,v2.0,MuOnia
HLT_Dimuon12_Upsilon_eta1p5_v,41.54,41.54,297050,306460,v1.1,MuOnia
HLT_Dimuon14_Phi_Barrel_Seagulls_v,41.54,41.54,297050,306460,v1.1,MuOnia
HLT_Dimuon24_Phi_noCorrL1_v,27.13,27.13,302026,306460,v3.0,MuOnia
HLT_Dimuon24_Upsilon_noCorrL1_v,27.13,27.13,302026,306460,v3.0,MuOnia
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v,3.67,3.67,306029,306460,v4.1,MuOnia
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v,3.67,3.67,306029,306460,v4.1,MuOnia
HLT_Mu20_TkMu0_Phi_v,41.54,36.06,297050,306460,v1.1,MuOnia
HLT_Mu25_TkMu0_Onia_v,36.75,33.66,299368,306460,v2.0,MuOnia
HLT_Mu25_TkMu0_Phi_v,36.75,36.75,299368,306460,v2.0,MuOnia
HLT_Mu30_TkMu0_Onia_v,41.54,41.54,297050,306460,v1.1,MuOnia
HLT_Mu7p5_L2Mu2_Upsilon_v,36.75,0.17,299368,306460,v2.0,MuOnia
HLT_Mu7p5_Track2_Upsilon_v,41.54,0.0688,297050,306460,v1.1,MuOnia
HLT_Mu7p5_Track3p5_Upsilon_v,41.54,0.12,297050,306460,v1.1,MuOnia
HLT_Mu7p5_Track7_Upsilon_v,41.54,0.15,297050,306460,v1.1,MuOnia
HLT_Trimuon2_Upsilon5_Muon_v,4.79,4.79,297050,299329,v1.1,MuOnia
HLT_Trimuon5_3p5_2_Upsilon_Muon_v,36.75,36.38,299368,306460,v2.0,MuOnia
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v,3.67,3.67,306029,306460,v4.1,MuOnia
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v,41.54,38.41,297050,306460,v1.1,MuonEG
HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v,41.54,14.01,297050,306460,v1.1,MuonEG
HLT_DoubleMu20_7_Mass0to30_L1_DM4_v,36.75,0.3,299368,306460,v2.0,MuonEG
HLT_Mu12_DoublePhoton20_v,27.13,27.13,302026,306460,v3.0,MuonEG
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v,36.75,3.86,299368,306460,v2.0,MuonEG
HLT_Mu17_Photon30_IsoCaloId_v,27.13,27.13,302026,306460,v3.0,MuonEG
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v,36.75,36.75,299368,306460,v2.0,MuonEG
HLT_Mu27_Ele37_CaloIdL_MW_v,27.13,27.13,302026,306460,v3.0,MuonEG
HLT_Mu37_Ele27_CaloIdL_MW_v,27.13,27.13,302026,306460,v3.0,MuonEG
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v,36.75,36.75,299368,306460,v2.0,MuonEG
HLT_Mu48NoFiltersNoVtx_Photon48_CaloIdL_v,36.75,36.75,299368,306460,v2.0,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_DZ_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ_v,36.75,36.75,299368,306460,v2.0,MuonEG
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_v,36.75,16.55,299368,306460,v2.0,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,41.54,41.54,297050,306460,v1.1,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v,36.75,3.36,299368,306460,v2.0,MuonEG
HLT_L2Mu10_NoVertex_NoBPTX3BX_v,41.54,0.22,297050,306460,v1.1,NoBPTX
HLT_L2Mu10_NoVertex_NoBPTX_v,41.54,0.0238,297050,306460,v1.1,NoBPTX
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v,41.54,38.54,297050,306460,v1.1,NoBPTX
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v,41.54,38.54,297050,306460,v1.1,NoBPTX
HLT_UncorrectedJetE30_NoBPTX3BX_v,41.54,0,297050,306460,v1.1,NoBPTX
HLT_UncorrectedJetE30_NoBPTX_v,41.54,0.0314,297050,306460,v1.1,NoBPTX
HLT_UncorrectedJetE60_NoBPTX3BX_v,41.54,41.54,297050,306460,v1.1,NoBPTX
HLT_UncorrectedJetE70_NoBPTX3BX_v,41.54,41.54,297050,306460,v1.1,NoBPTX
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v,36.75,36.75,299368,306460,v2.0,NotFound
HLT_DoubleIsoMu20_eta2p1_v,36.75,36.75,299368,306460,v2.0,NotFound
HLT_DoubleIsoMu24_eta2p1_v,36.75,36.75,299368,306460,v2.0,NotFound
HLT_EcalCalibration_v,41.54,41.54,297050,306460,v1.1,NotFound
HLT_HT300_Beamspot_v,41.54,3.36,297050,306460,v1.1,NotFound
HLT_HT450_Beamspot_v,4.79,2.14,297050,299329,v1.1,NotFound
HLT_HcalCalibration_v,41.54,41.54,297050,306460,v1.1,NotFound
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_CrossL1_v,30.55,30.55,301046,306460,v2.2,NotFound
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau40_Trk1_eta2p1_Reg_CrossL1_v,30.55,30.55,301046,306460,v2.2,NotFound
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_CrossL1_v,30.55,30.55,301046,306460,v2.2,NotFound
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau40_Trk1_eta2p1_Reg_CrossL1_v,30.55,30.55,301046,306460,v2.2,NotFound
HLT_L1FatEvents_v,3.48,0.0471,297292,299329,v1.1,NotFound
HLT_Ele115_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v,36.75,0.0276,299368,306460,v2.0,SingleElectron
HLT_Ele135_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele145_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele15_IsoVVVL_PFHT450_CaloBTagCSV_4p5_v,36.75,0.0015,299368,306460,v2.0,SingleElectron
HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v,36.75,0.0015,299368,306460,v2.0,SingleElectron
HLT_Ele15_IsoVVVL_PFHT450_v,36.75,0.0015,299368,306460,v2.0,SingleElectron
HLT_Ele15_IsoVVVL_PFHT600_v,36.75,0.0015,299368,306460,v2.0,SingleElectron
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v,36.75,0.0355,299368,306460,v2.0,SingleElectron
HLT_Ele200_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v,36.75,0.0434,299368,306460,v2.0,SingleElectron
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v,36.75,0.0381,299368,306460,v2.0,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele250_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele27_WPTight_Gsf_v,31.72,31.72,297050,306460,v1.1,SingleElectron
HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele300_CaloIdVT_GsfTrkIdT_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele32_WPTight_Gsf_v,27.13,27.13,302026,306460,v3.0,SingleElectron
HLT_Ele35_WPTight_Gsf_L1EGMT_v,27.13,27.13,302026,306460,v3.0,SingleElectron
HLT_Ele35_WPTight_Gsf_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele38_WPTight_Gsf_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele40_WPTight_Gsf_v,41.54,41.54,297050,306460,v1.1,SingleElectron
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v,36.75,36.75,299368,306460,v2.0,SingleElectron
HLT_Ele50_IsoVVVL_PFHT450_v,36.75,0.0015,299368,306460,v2.0,SingleElectron
