#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
319950:6946,07/20/18 02:45:30,168,HLT_OldMu100_v3,0.067840573,0.065936582
319991:6953,07/20/18 15:48:51,837,HLT_OldMu100_v3,0.292532002,0.282113669
319992:6953,07/20/18 21:15:39,264,HLT_OldMu100_v3,0.068314667,0.065586878
319993:6953,07/20/18 23:01:06,955,HLT_OldMu100_v3,0.187747701,0.182676621
320002:6956,07/21/18 08:17:32,141,HLT_OldMu100_v3,0.052523648,0.050203881
320006:6956,07/21/18 09:46:32,340,HLT_OldMu100_v3,0.117880259,0.114140954
320010:6956,07/21/18 14:27:42,330,HLT_OldMu100_v3,0.076664447,0.074677045
320011:6956,07/21/18 16:38:02,302,HLT_OldMu100_v3,0.063113485,0.061138295
320012:6956,07/21/18 18:38:20,99,HLT_OldMu100_v3,0.018712035,0.018060759
320023:6957,07/21/18 21:33:03,276,HLT_OldMu100_v3,0.103950839,0.098835382
320024:6957,07/21/18 23:21:36,410,HLT_OldMu100_v3,0.130441651,0.126441802
320025:6957,07/22/18 02:03:20,113,HLT_OldMu100_v3,0.031215963,0.030113403
320026:6957,07/22/18 02:49:54,204,HLT_OldMu100_v3,0.051564870,0.050085960
320038:6960,07/22/18 07:09:04,621,HLT_OldMu100_v3,0.227410433,0.218714081
320039:6960,07/22/18 11:13:45,30,HLT_OldMu100_v3,0.009142321,0.008200324
320040:6960,07/22/18 11:29:06,737,HLT_OldMu100_v3,0.183360034,0.177429449
320059:6961,07/22/18 18:43:23,105,HLT_OldMu100_v3,0.043616077,0.040909008
320060:6961,07/22/18 19:27:05,42,HLT_OldMu100_v3,0.016524609,0.015725135
320061:6961,07/22/18 19:46:28,49,HLT_OldMu100_v3,0.019093879,0.018270201
320062:6961,07/22/18 20:06:50,21,HLT_OldMu100_v3,0.008000818,0.006956526
320063:6961,07/22/18 20:17:40,64,HLT_OldMu100_v3,0.023691335,0.022166274
320064:6961,07/22/18 20:48:07,200,HLT_OldMu100_v3,0.068381122,0.064867062
320065:6961,07/22/18 22:09:30,920,HLT_OldMu100_v3,0.234982354,0.227087403
320673:7005,08/01/18 02:33:01,867,HLT_OldMu100_v3,0.065886258,0.064592146
320674:7005,08/01/18 08:11:46,599,HLT_OldMu100_v3,0.034307292,0.033749177
320688:7006,08/01/18 15:24:06,483,HLT_OldMu100_v3,0.135322479,0.130855973
320712:7008,08/02/18 02:45:01,204,HLT_OldMu100_v3,0.071961798,0.069580333
320757:7013,08/02/18 14:37:56,332,HLT_OldMu100_v3,0.120887148,0.116684512
320804:7017,08/03/18 07:27:51,1229,HLT_OldMu100_v3,0.330957920,0.319035302
320807:7017,08/03/18 15:28:46,7,HLT_OldMu100_v3,0.001319985,0.000348409
320809:7017,08/03/18 15:43:13,716,HLT_OldMu100_v3,0.109017320,0.106231067
320821:7018,08/03/18 23:57:32,181,HLT_OldMu100_v3,0.062972025,0.060433375
320822:7018,08/04/18 01:09:16,523,HLT_OldMu100_v3,0.155023406,0.149815329
320823:7018,08/04/18 04:34:31,360,HLT_OldMu100_v3,0.082833703,0.080025689
320824:7018,08/04/18 06:55:49,1051,HLT_OldMu100_v3,0.168366963,0.164020607
